word,categories,cefr,meaning_ko,meaning_en,meaning_tr,example
cat,Animals/Pet,A1,고양이,a small pet animal,kedi,The cat sleeps.
dog,Animals/Pet,A1,개,a common pet animal,köpek,The dog is friendly.
bird,Animals/Bird,A1,새,an animal with wings,kuş,A bird is flying.
cow,Animals/Farm,A1,소,a large farm animal,inek,The cow eats grass.
horse,Animals/Farm,A1,말,a large animal you can ride,at,The horse runs fast.
tree,Nature/Plants,A1,나무,a tall plant with a trunk,ağaç,The tree is tall.
flower,Nature/Plants,A1,꽃,the colorful part of a plant,çiçek,The flower is pretty.
grass,Nature/Plants,A1,풀,short green plants on the ground,ot,The grass is green.
sun,Nature/Sky,A1,태양,the star that gives light,güneş,The sun is bright.
moon,Nature/Sky,A1,달,the object seen at night,ay,The moon is full.
star,Nature/Sky,A1,별,a bright object in the sky,yıldız,I see a star.
sky,Nature/Sky,A1,하늘,the space above the earth,gökyüzü,The sky is blue.
rain,Weather/Rain,A1,비,water that falls from clouds,yağmur,The rain is cold.
snow,Weather/Snow,A1,눈,white flakes that fall in winter,kar,Snow falls at night.
wind,Weather/Wind,A1,바람,moving air,rüzgar,The wind is strong.
day,Time/Day,A1,하루,a period of 24 hours,gün,It is a sunny day.
night,Time/Day,A1,밤,the time when it is dark,gece,"Good night, Mom."
morning,Time/Day,A1,아침,the early part of the day,sabah,I run in the morning.
evening,Time/Day,A1,저녁,the late part of the day,akşam,We eat in the evening.
today,Time/Day,A1,오늘,this day,bugün,Today is warm.
tomorrow,Time/Day,A1,내일,the day after today,yarın,I work tomorrow.
yesterday,Time/Day,A1,어제,the day before today,dün,Yesterday was rainy.
Monday,Time/Week,A1,월요일,the first day of the work week,Pazartesi,Monday is busy.
January,Time/Month,A1,1월,the first month of the year,Ocak,January is cold.
time,Time/General,A1,시간,the measure of moments,zaman,What time is it?
year,Time/Year,A1,년,twelve months,yıl,This year is good.
red,Colors/Basic,A1,빨간색,the color of blood,kırmızı,The car is red.
blue,Colors/Basic,A1,파란색,the color of the sky,mavi,The bag is blue.
green,Colors/Basic,A1,초록색,the color of grass,yeşil,The tree is green.
black,Colors/Basic,A1,검은색,the darkest color,siyah,The cat is black.
white,Colors/Basic,A1,하얀색,the lightest color,beyaz,The shirt is white.
one,Numbers/Basic,A1,하나,the number 1,bir,I have one pen.
two,Numbers/Basic,A1,둘,the number 2,iki,We have two cups.
three,Numbers/Basic,A1,셋,the number 3,üç,Three birds fly.
four,Numbers/Basic,A1,넷,the number 4,dört,Four chairs are here.
five,Numbers/Basic,A1,다섯,the number 5,beş,I read five pages.
go,Actions/Movement,A1,가다,to move to another place,gitmek,I go to school.
come,Actions/Movement,A1,오다,to move toward here,gelmek,Please come here.
eat,Actions/Food,A1,먹다,to take food into the body,yemek,We eat rice.
drink,Actions/Food,A1,마시다,to take liquid into the body,içmek,I drink tea.
